"Comment","Taxon","Taxon_Path"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Cnidaria Anthozoa Hexacorallia Antipatharia:","Antipatharia","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Cnidaria Anthozoa Hexacorallia Antipatharia:Heteropathes","Heteropathes","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia / Cladopathidae / Heteropathes"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Arthropoda Crustacea Malacostraca Decapoda Galatheoidea or Chirostyloidea: x2","Anomura","Biota / Animalia / Arthropoda / Malacostraca / Decapoda / Anomura"
"Chordata Actinopterygii Elopmorpha Anguilliformes Synaphobranchidae:","Synaphobranchidae","Biota / Animalia / Chordata / Teleostei / Anguilliformes / Synaphobranchidae"
"Porifera Hexactinellida:","Hexactinellida","Biota / Animalia / Porifera / Hexactinellida"
"Cnidaria Anthozoa Hexacorallia Antipatharia:Stauropathes","Stauropathes","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia / Schizopathidae / Stauropathes"
"Start EX1806_DIVE04_SPEC07BIO: Thouarella","Thouarella","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Primnoidae / Thouarella"
"End EX1806_DIVE04_SPEC07BIO: Thouarella","Thouarella","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Primnoidae / Thouarella"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Cnidaria Anthozoa Hexacorallia Scleractinia:","Scleractinia","Biota / Animalia / Cnidaria / Anthozoa / Scleractinia"
"Cnidaria Anthozoa Octocorallia Alcyonacea Scleraxonia Coralliidae:","Coralliidae","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Coralliidae"
"Cnidaria Anthozoa Hexacorallia Scleractinia: Cup coral","Scleractinia","Biota / Animalia / Cnidaria / Anthozoa / Scleractinia"
"Porifera Hexactinellida:","Hexactinellida","Biota / Animalia / Porifera / Hexactinellida"
"Arthropoda Crustacea Malacostraca Decapoda Pleocyemata Paguroidea:","Paguroidea","Biota / Animalia / Arthropoda / Malacostraca / Decapoda / Paguroidea"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Porifera Demospongiae:","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Cnidaria Anthozoa Octocorallia Alcyonacea:","Octocorallia","Biota / Animalia / Cnidaria / Anthozoa / Octocorallia"
"Cnidaria Anthozoa Hexacorallia Scleractinia:","Scleractinia","Biota / Animalia / Cnidaria / Anthozoa / Scleractinia"
"Arthropoda Crustacea Malacostraca Decapoda Pleocyemata Paguroidea:","Paguroidea","Biota / Animalia / Arthropoda / Malacostraca / Decapoda / Paguroidea"
"Cnidaria Anthozoa Hexacorallia Zoanthidea:","Zoantharia","Biota / Animalia / Cnidaria / Anthozoa / Zoantharia"
"Chordata Actinopterygii Elopmorpha Anguilliformes Synaphobranchidae:","Synaphobranchidae","Biota / Animalia / Chordata / Teleostei / Anguilliformes / Synaphobranchidae"
"Porifera Hexactinellida:","Hexactinellida","Biota / Animalia / Porifera / Hexactinellida"
"Echinodermata  Asteroidea:","Asteroidea","Biota / Animalia / Echinodermata / Asteroidea"
"Echinodermata Crinoidea Articulata: stalked","Articulata","Biota / Animalia / Echinodermata / Crinoidea / Articulata"
"Arthropoda Crustacea Malacostraca Decapoda Dendrobranchiata or Pleocyemata:","Decapoda","Biota / Animalia / Arthropoda / Malacostraca / Decapoda"
"Crinoidea","Crinoidea","Biota / Animalia / Echinodermata / Crinoidea"
"Porifera: Encrusting sponge","Porifera","Biota / Animalia / Porifera"
"Chordata Actinopterygii Elopmorpha Anguilliformes Synaphobranchidae:","Synaphobranchidae","Biota / Animalia / Chordata / Teleostei / Anguilliformes / Synaphobranchidae"
"Chordata Actinopterygii Teleostei Lophiformes: Chaunax","Chaunax","Biota / Animalia / Chordata / Teleostei / Lophiiformes / Chaunacidae / Chaunax"
"Arthropoda Crustacea Malacostraca Decapoda Dendrobranchiata or Pleocyemata:","Decapoda","Biota / Animalia / Arthropoda / Malacostraca / Decapoda"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Echinodermata Crinoidea Articulata:","Articulata","Biota / Animalia / Echinodermata / Crinoidea / Articulata"
"Cnidaria Anthozoa Hexacorallia Antipatharia:","Antipatharia","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia"
"Cnidaria Anthozoa Hexacorallia Antipatharia:","Antipatharia","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia"
"Cnidaria Anthozoa Hexacorallia Actiniaria:","Actiniaria","Biota / Animalia / Cnidaria / Anthozoa / Actiniaria"
"Cnidaria Anthozoa Hexacorallia Antipatharia:","Antipatharia","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia"
"Porifera Hexactinellida:","Hexactinellida","Biota / Animalia / Porifera / Hexactinellida"
"Cnidaria Anthozoa Octocorallia Alcyonacea: Clavularia purple stoloniferan","Clavularia","Biota / Animalia / Cnidaria / Anthozoa / Malacalcyonacea / Clavulariidae / Clavularia"
"Cnidaria Anthozoa Octocorallia Alcyonacea Holaxonia Plexauridae: Paramuricea","Paramuricea","Biota / Animalia / Cnidaria / Anthozoa / Malacalcyonacea / Paramuriceidae / Paramuricea"
"Cnidaria Anthozoa Hexacorallia Scleractinia:","Scleractinia","Biota / Animalia / Cnidaria / Anthozoa / Scleractinia"
"Cnidaria Anthozoa Hexacorallia Antipatharia:","Antipatharia","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia"
"Porifera:","Porifera","Biota / Animalia / Porifera"
